ticker	pdate	ptime	head_
USB	Aug-17-20	01:13PM	Berkshire Hathaway: Thoughts on the Conglomerate's Gold Buy GuruFocus.com
USB	Aug-14-20	10:49AM	Zacks Industry Outlook Highlights: Comerica, Wells Fargo & Company, JPMorgan Chase, Bank of America and U.S. Bancorp Zacks
USB	Aug-13-20	01:23PM	The Zacks Analyst Blog Highlights: PayPal, Netflix, USB, AXP and MUFG Zacks
USB	Aug-12-20	03:44PM	Tweedy Browne Adds Morgan Stanley, AbbVie to Portfolio GuruFocus.com
USB	Aug-12-20	12:30PM	Top Stock Reports for PayPal, Netflix & USB Zacks
USB	Aug-10-20	11:33AM	U.S. Bank Announces $1 Million in Grants to Black-Led CDFIs; Additional Support for African American Alliance Business Wire
USB	Aug-06-20	09:48AM	U.S. Bancorp Ratings Affirmed, Outlook Lowered by Moody's Zacks
USB	Aug-05-20	01:12PM	Elavon Financial Services DAC -- Moody's affirms U.S. Bancorp's ratings (A1 long-term senior unsecured), changes outlook to negative from stable Moody's
USB	Aug-04-20	10:20PM	Avon Finance No. 1 plc -- Moody's assigns definitive ratings to RMBS Notes issued by Avon Finance No. 1 plc Moody's
USB	Aug-04-20	09:38AM	Avon Finance No. 1 plc -- Moody's assigns definitive ratings to RMBS Notes issued by Avon Finance No. 1 plc Moody's
USB	Jul-29-20	06:16PM	US Indexes Close Higher Wednesday GuruFocus.com
USB	Jul-29-20	02:01PM	U.S. Bank Announces Several Key Leadership Changes Business Wire
USB	Jul-27-20	07:23PM	5 Banks Popular Among Gurus GuruFocus.com
USB	Jul-26-20	12:12PM	The T Rowe Price Equity Income Fund Cuts JPMorgan GuruFocus.com
HAS	Jan-11-21	03:34PM	Hasbro to Webcast February 2021 Investor Events Business Wire
HAS	Jan-08-21	09:00AM	Hasbro Creates New Purpose Organization to Further Advance Positive Global Impact; Appoints Kathrin Belliveau Chief Purpose Officer Business Wire
HAS	Jan-07-21	01:55AM	Is It Time To Consider Buying Hasbro, Inc. (NASDAQ:HAS)? Simply Wall St.
HAS	Dec-31-20	08:06PM	The Top 5 Contrarian Stocks to Buy for 2021 Motley Fool
HAS	Dec-31-20	09:18AM	Hasbro (HAS) Down 11% YTD: Can the Stock Revive in 2021? Zacks
HAS	Dec-29-20	07:18AM	How Does Hasbro's Debt Look? Benzinga
HAS	Dec-20-20	05:30PM	Is Hasbro (HAS) A Good Stock To Buy Now? Insider Monkey
HAS	Dec-17-20	08:43AM	Where to Invest $5,000 Right Now Motley Fool
HAS	Dec-16-20	10:11AM	Understanding Hasbro's Unusual Options Activity Benzinga
HAS	Dec-16-20	08:45AM	Pandemic Pushing Toy Sales: 3 Stocks to Watch Zacks
HAS	Dec-16-20	08:30AM	Forget Mattel: Hasbro Is a Better Growth Stock Motley Fool
HAS	Dec-16-20	07:24AM	Where Will Hasbro Be in 5 Years? Motley Fool
HAS	Dec-12-20	02:26AM	We're Watching These Trends At Hasbro (NASDAQ:HAS) Simply Wall St.
HAS	Dec-11-20	10:19AM	Zacks Industry Outlook Highlights: Mattel, Glu Mobile, JAKKS Pacific and Hasbro Zacks
HAS	Dec-10-20	09:45AM	3 Toys & Games Stocks to Snap Up Despite COVID-19 Woes Zacks
HAS	Dec-10-20	09:45AM	3 High-Yield Dividend Stocks to Buy Now Motley Fool
HAS	Dec-09-20	10:05AM	Hasbro Is Ahead of Mattel as Toys Go Digital Barrons.com
HAS	Dec-09-20	09:37AM	Benzinga's Top Upgrades, Downgrades For December 9, 2020 Benzinga
HAS	Dec-09-20	07:45AM	5 Stocks That Make Great Gifts for Teaching Kids Investing Motley Fool
HAS	Dec-08-20	11:14AM	Hasbro Teams up With Charlie "Rocket" Jabaley to Deliver Joy to Families Impacted By COVID-19 Business Wire
HAS	Dec-07-20	08:30AM	White County Middle School to be recognized for inclusion achievements as a Special Olympics Unified Champion School through national banner presentation by Hasbro, Inc. PR Newswire
HAS	Dec-03-20	02:10PM	Why Funko Stock Just Dropped 10% Motley Fool
HAS	Dec-03-20	11:47AM	Hasbro Announces Quarterly Cash Dividend on Common Shares Business Wire
HAS	Dec-02-20	01:34PM	Why Hasbro Stock Dropped Today Motley Fool
HAS	Dec-02-20	09:52AM	Benzinga's Top Upgrades, Downgrades For December 2, 2020 Benzinga
HAS	Nov-25-20	07:09PM	The Black Friday Indicator Investopedia
HAS	Nov-25-20	04:25PM	A Stock Traders Guide to Black Friday in the Covid-19 Era Bloomberg
HAS	Nov-25-20	11:30AM	Why Is Hasbro (HAS) Up 8.2% Since Last Earnings Report? Zacks
HAS	Nov-24-20	09:00AM	Hasbro Advances Major Corporate Social Responsibility Priorities Including Eliminating Plastic in Packaging, Expanding Toy Recycling Program Globally and Furthering Environmental Assessments of Suppliers Business Wire
HAS	Nov-17-20	06:30AM	Mattel Surges on Earnings. Is It Back From the Brink? Motley Fool
HAS	Nov-16-20	06:38AM	Introducing Hasbro (NASDAQ:HAS), A Stock That Climbed 17% In The Last Five Years Simply Wall St.
HAS	Nov-06-20	10:15AM	Mattel CEO: Barbie, Hot Wheels, 'are resonating' with consumers during pandemic Yahoo Finance
HAS	Nov-02-20	10:00AM	Hasbro Appoints Laurel J. Richie to Board of Directors Business Wire
HAS	Nov-02-20	09:00AM	2 Top Stocks to Buy During the Holiday Quarter Motley Fool
HAS	Oct-31-20	07:18AM	3 Reasons Investors Overreacted to Hasbro's Third Quarter Results Motley Fool
HAS	Oct-29-20	10:20AM	Ex-Dividend Date Insight: Hasbro Benzinga
HAS	Oct-29-20	07:11AM	5 Dividend Stocks That Have Had a Great Run and Are Just Getting Started Motley Fool
HAS	Oct-28-20	06:47PM	Why SAP Is Down Motley Fool
HAS	Oct-28-20	09:00AM	Online holiday sales could hit a record $189 billion: Adobe Analytics Yahoo Finance
HAS	Oct-27-20	01:29PM	Hasbro CEO: Toy sales are rocking before the holidays Yahoo Finance
HAS	Oct-27-20	10:01AM	Hasbro CEO is 'very enthusiastic about 2021' as the company makes progress on IP Yahoo Finance Video
HAS	Oct-27-20	08:38AM	Delayed TV Production Dents Hasbro Again In Q3 2020 Motley Fool
HAS	Oct-26-20	03:30PM	Hasbro (HAS) Q3 2020 Earnings Call Transcript Motley Fool -9.35%
HAS	Oct-26-20	01:57PM	Walmart CEO: The lack of stimulus is taking its toll Yahoo Finance
HAS	Oct-26-20	01:43PM	Walmart CEO: Consumers are stocking up again as coronavirus rages on Yahoo Finance
HAS	Oct-26-20	01:01PM	Toymakers expect strong Christmas sales despite coronavirus BBC
HAS	Oct-26-20	12:12PM	The Dow Is Dropping as Covid Cases Rise, Stimulus Is Delayed Barrons.com
HAS	Oct-26-20	11:47AM	Toymaker Hasbro Posts Better-Than-Expected Q3 Earnings; Target Price $94 FX Empire
HAS	Oct-26-20	11:40AM	Why Hasbro Stock Crashed 10% After Beating Earnings Motley Fool
