ETHUSD	1067.25	18.38	1.75	CrossTower Launches Capital Markets Desk to Bring Institutions to Its Spot Exchange	2021-01-13 10:00:58
ERJ	6.89	-0.11	-1.57	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 10:00:56
NARI	94.8468	9.7368	11.44	Current Report Filing (8-k)	2021-01-13 10:00:51
BTCUSD	34669.48	606.71	1.78	Ledger Adds Bitcoin Bounty and New Data Security After Hack	2021-01-13 10:00:05
QBR.A	30.78	-1.22	-3.81	Quebecor joins EV100 global initiative as it presses ahead with electrification of its entire vehicle fleet	2021-01-13 10:00:00
UFS	31.37	-0.89	-2.76	Media Advisory: Domtar Corporation Fourth Quarter and Full-Year 2020 Financial Results	2021-01-13 10:00:00
UFS	31.37	-0.89	-2.76	AVIS DE CONVOCATION : RÉSULTATS FINANCIERS DU QUATRIÈME TRIMESTRE ET DE L’EXERCICE 2020 DE DOMTAR CORPORATION	2021-01-13 10:00:00
ASAN	37.2035	2.2235	6.36	Asana Named a Best Place to Work in 2021 by Glassdoor	2021-01-13 10:00:00
QBR.B	30.75	-0.34	-1.09	Québecor se joint à l'initiative mondiale EV100 en poursuivant son objectif d'électrifier la totalité de son parc de véh...	2021-01-13 10:00:00
KHC	32.29	0.11	0.34	Oscar Mayer Launches Search for Next Class of Hotdoggers	2021-01-13 10:00:00
QBR.A	30.78	-1.22	-3.81	Québecor se joint à l'initiative mondiale EV100 en poursuivant son objectif d'électrifier la totalité de son parc de véh...	2021-01-13 10:00:00
UFS	31.37	-0.89	-2.76	AVIS DE CONVOCATION : RÉSULTATS FINANCIERS DU QUATRIÈME TRIMESTRE ET DE L’EXERCICE 2020 DE DOMTAR CORPORATION	2021-01-13 10:00:00
UFS	31.37	-0.89	-2.76	Media Advisory: Domtar Corporation Fourth Quarter and Full-Year 2020 Financial Results	2021-01-13 10:00:00
CACI	240.765	-1.045	-0.43	CACI International Invites You to Participate in its Fiscal 2021 Second Quarter Conference Call	2021-01-13 10:00:00
QBR.B	30.75	-0.34	-1.09	Quebecor joins EV100 global initiative as it presses ahead with electrification of its entire vehicle fleet	2021-01-13 10:00:00
LTCUSD	139.1	5.88	4.41	First Mover: Don’t Like $34K Bitcoin? Stellar, Litecoin Yet to Conquer Old Highs	2021-01-13 09:56:50
BTCUSD	34669.48	606.71	1.78	First Mover: Don’t Like $34K Bitcoin? Stellar, Litecoin Yet to Conquer Old Highs	2021-01-13 09:56:50
CM	89.23	0.16	0.18	CIBC wins 2021 Business Intelligence Group Innovation Award	2021-01-13 09:56:00
CM	89.23	0.16	0.18	CIBC wins 2021 Business Intelligence Group Innovation Award	2021-01-13 09:56:00
FRG	31.88	-0.02	-0.06	Prospectus Filed Pursuant to Rule 424(b)(5) (424b5)	2021-01-13 09:54:19
VMW	132.045	-10.865	-7.6	VMware Board of Directors Initiates Search for Chief Executive Officer	2021-01-13 09:53:00
BTCUSD	34669.48	606.71	1.78	US Navy Commissions $1.5M Blockchain System for Tracking Critical Weaponry	2021-01-13 09:52:08
ITUP	3.5	-0.1	-2.78	Current Report Filing (8-k)	2021-01-13 09:51:48
